Date,Day,Rooms Sold,Rooms for Sale,Arrival Rooms,Compliment Rooms,House Use,Hold,Individual Confirm,Individual Tentative,Group Confirm,Group Tentative,Occupancy %,Room Revenue,ARR,Inclusion Revenue,Departure Rooms,OOO Rooms,Pax,Individual Revenue,Individual ARR,Confirmed Group Revenue,Confirmed Group ARR,Tentative Group Revenue,Tentative Group ARR,Total Room Inventory
2023-02-05,Sunday,105.0,8.0,50.0,2.0,3.0,0.0,110.0,0.0,0.0,0.0,88.98,1499626.34,14282.16,0.0,62.0,13.0,173.0,1499626.34,13632.97,0.0,0.0,0.0,0.0,118.0
2023-02-07,Tuesday,114.0,3.0,36.0,2.0,2.0,0.0,118.0,0.0,0.0,0.0,94.21,1499655.56,13154.87,0.0,22.0,9.0,148.0,1499655.56,12708.95,0.0,0.0,0.0,0.0,121.0
2023-02-08,Wednesday,113.0,5.0,35.0,2.0,2.0,0.0,117.0,0.0,0.0,0.0,92.62,1450795.07,12838.89,0.0,36.0,8.0,155.0,1483489.98,12679.4,0.0,0.0,0.0,0.0,122.0
2023-02-09,Thursday,117.0,0.0,44.0,2.0,2.0,0.0,121.0,0.0,0.0,0.0,96.69,1632785.45,13955.43,0.0,40.0,9.0,169.0,1632785.45,13494.09,0.0,0.0,0.0,0.0,121.0
2023-02-10,Friday,117.0,2.0,57.0,2.0,2.0,0.0,121.0,0.0,0.0,0.0,95.12,1572270.26,13438.21,0.0,58.0,7.0,185.0,1572270.26,12993.97,0.0,0.0,0.0,0.0,123.0
2023-02-11,Saturday,117.0,0.0,48.0,2.0,2.0,0.0,121.0,0.0,0.0,0.0,96.69,1503254.68,12848.33,0.0,48.0,9.0,186.0,1503254.68,12423.59,0.0,0.0,0.0,0.0,121.0
2023-02-12,Sunday,90.0,24.0,33.0,2.0,3.0,0.0,95.0,0.0,0.0,0.0,75.63,1174099.55,13045.55,0.0,60.0,12.0,145.0,1174099.55,12358.94,0.0,0.0,0.0,0.0,119.0
2023-02-13,Monday,106.0,5.0,61.0,1.0,3.0,0.0,110.0,0.0,0.0,0.0,92.17,1425061.42,13443.98,0.0,47.0,15.0,168.0,1425061.42,12955.1,0.0,0.0,0.0,0.0,115.0
2023-02-14,Tuesday,109.0,6.0,55.0,0.0,3.0,0.0,112.0,0.0,0.0,0.0,92.37,1442557.79,13234.48,0.0,53.0,12.0,167.0,1442557.79,12879.98,0.0,0.0,0.0,0.0,118.0
2023-02-15,Wednesday,110.0,5.0,55.0,0.0,2.0,0.0,112.0,0.0,0.0,0.0,94.02,1500529.82,13641.18,0.0,55.0,13.0,167.0,1500529.82,13397.59,0.0,0.0,0.0,0.0,117.0
2023-02-16,Thursday,114.0,1.0,61.0,2.0,3.0,0.0,119.0,0.0,0.0,0.0,95.0,1543518.57,13539.64,0.0,54.0,10.0,181.0,1543518.57,12970.74,0.0,0.0,0.0,0.0,120.0
2023-02-17,Friday,111.0,5.0,43.0,2.0,3.0,0.0,116.0,0.0,0.0,0.0,91.74,1516986.43,13666.54,0.0,46.0,9.0,184.0,1516986.43,13077.47,0.0,0.0,0.0,0.0,121.0
2023-02-18,Saturday,108.0,3.0,38.0,3.0,3.0,0.0,114.0,0.0,0.0,0.0,92.31,1548606.04,14338.94,0.0,40.0,14.0,179.0,1548606.04,13584.26,0.0,0.0,0.0,0.0,117.0
2023-02-19,Sunday,107.0,6.0,49.0,1.0,2.0,0.0,110.0,0.0,0.0,0.0,92.24,1536997.43,14364.46,0.0,53.0,14.0,173.0,1536997.43,13972.7,0.0,0.0,0.0,0.0,116.0
2023-02-20,Monday,106.0,4.0,53.0,1.0,4.0,0.0,111.0,0.0,0.0,0.0,92.17,1493532.6,14089.93,0.0,52.0,15.0,151.0,1493532.6,13455.25,0.0,0.0,0.0,0.0,115.0
