Date,Unnamed: 6,Unnamed: 7,Unnamed: 10,Unnamed: 12,Unnamed: 15,Unnamed: 19,Unnamed: 22,Unnamed: 24,Unnamed: 27,Unnamed: 31,Unnamed: 33,Unnamed: 36,snapshot_date,arrival_date,actual_or_forecast,Day,Rooms Sold,Arrival Rooms,Compliment Rooms,House Use,Individual Confirm,Occupancy %,Room Revenue,ARR,Departure Rooms,OOO Rooms,Pax,Total Room Inventory
,117.0,117.0,49.0,1.0,6.0,117.0,94.0171,617835.21,5280.6428,45.0,15.0,172.0,,,actual,,,,,,,,,,,,,
,116.0,113.0,34.0,1.0,5.0,113.0,92.2414,620455.06,5490.7527,32.0,16.0,170.0,,,actual,,,,,,,,,,,,,
,118.0,116.0,39.0,0.0,4.0,116.0,94.9153,633071.92,5457.5165,35.0,14.0,169.0,,,actual,,,,,,,,,,,,,
,118.0,116.0,36.0,0.0,4.0,116.0,94.9153,682949.05,5887.4918,36.0,14.0,182.0,,,actual,,,,,,,,,,,,,
,119.0,114.0,36.0,0.0,1.0,114.0,94.958,664046.94,5824.9731,38.0,13.0,182.0,,,actual,,,,,,,,,,,,,
,119.0,118.0,41.0,0.0,4.0,118.0,95.7983,682494.94,5783.8554,37.0,13.0,181.0,,,actual,,,,,,,,,,,,,
,118.0,107.0,41.0,0.0,4.0,107.0,87.2881,649119.72,6066.5394,52.0,14.0,164.0,,,actual,,,,,,,,,,,,,
,120.0,99.0,48.0,0.0,4.0,99.0,79.1667,518542.76,5237.8056,56.0,12.0,152.0,,,actual,,,,,,,,,,,,,
,111.0,75.0,28.0,0.0,4.0,75.0,63.964,394551.5,5260.6866,52.0,21.0,105.0,,,actual,,,,,,,,,,,,,
,118.0,75.0,35.0,0.0,4.0,75.0,60.1695,438621.35,5848.2846,35.0,14.0,119.0,,,actual,,,,,,,,,,,,,
,111.0,77.0,43.0,0.0,4.0,77.0,65.7658,426438.98,5538.1685,41.0,21.0,126.0,,,actual,,,,,,,,,,,,,
,113.0,55.0,26.0,0.0,2.0,55.0,46.9027,349881.79,6361.487,48.0,19.0,87.0,,,actual,,,,,,,,,,,,,
,112.0,58.0,28.0,0.0,2.0,58.0,50.0,327570.64,5647.7696,25.0,20.0,89.0,,,actual,,,,,,,,,,,,,
,113.0,75.0,30.0,0.0,2.0,75.0,64.6018,389818.79,5197.5838,13.0,19.0,117.0,,,actual,,,,,,,,,,,,,
,111.0,95.0,49.0,0.0,3.0,95.0,82.8829,492585.29,5185.1083,31.0,25.0,144.0,,,actual,,,,,,,,,,,,,
,117.0,103.0,53.0,0.0,2.0,103.0,86.3248,559032.98,5427.5046,45.0,16.0,160.0,,,actual,,,,,,,,,,,,,
,117.0,98.0,37.0,0.0,2.0,98.0,82.0513,563392.1,5748.8989,43.0,15.0,161.0,,,actual,,,,,,,,,,,,,
,117.0,109.0,44.0,0.0,1.0,109.0,92.3077,608052.39,5578.4622,33.0,15.0,179.0,,,actual,,,,,,,,,,,,,
,114.0,101.0,53.0,0.0,2.0,101.0,86.8421,539099.5,5337.6188,61.0,18.0,153.0,,,actual,,,,,,,,,,,,,
,113.0,103.0,43.0,0.0,1.0,103.0,90.2655,539332.11,5236.234,41.0,20.0,150.0,,,actual,,,,,,,,,,,,,
,113.0,112.0,50.0,0.0,3.0,112.0,96.4602,591228.94,5278.8298,45.0,19.0,168.0,,,actual,,,,,,,,,,,,,
,118.0,116.0,38.0,1.0,2.0,116.0,95.7627,607306.1,5235.3974,36.0,16.0,180.0,,,actual,,,,,,,,,,,,,
,114.0,97.0,43.0,0.0,2.0,97.0,83.3333,521917.75,5380.5953,63.0,18.0,158.0,,,actual,,,,,,,,,,,,,
,110.0,107.0,52.0,0.0,2.0,107.0,95.4545,629420.27,5882.4324,42.0,22.0,164.0,,,actual,,,,,,,,,,,,,
,117.0,116.0,54.0,0.0,2.0,116.0,97.4359,683496.37,5892.21,46.0,15.0,208.0,,,actual,,,,,,,,,,,,,
,114.0,107.0,49.0,0.0,2.0,107.0,92.1053,593440.46,5546.1725,59.0,18.0,177.0,,,actual,,,,,,,,,,,,,
,116.0,102.0,44.0,0.0,2.0,102.0,86.2069,566213.14,5551.1092,49.0,16.0,161.0,,,actual,,,,,,,,,,,,,
,114.0,91.0,43.0,0.0,2.0,91.0,78.0702,503788.25,5536.1346,62.0,18.0,145.0,,,actual,,,,,,,,,,,,,
,117.0,88.0,42.0,0.0,2.0,88.0,73.5043,451224.86,5127.5552,49.0,15.0,143.0,,,actual,,,,,,,,,,,,,
,116.0,103.0,55.0,0.0,3.0,103.0,86.2069,559557.63,5432.5983,41.0,16.0,155.0,,,actual,,,,,,,,,,,,,
,113.0,72.0,33.0,0.0,1.0,72.0,62.8319,496175.2,6891.3222,67.0,19.0,111.0,,,actual,,,,,,,,,,,,,
,118.0,75.0,39.0,0.0,2.0,75.0,61.8644,476753.58,6356.7144,36.0,14.0,113.0,,,actual,,,,,,,,,,,,,
,116.0,74.0,45.0,0.0,1.0,74.0,62.931,467595.47,6318.8577,46.0,16.0,106.0,,,actual,,,,,,,,,,,,,
,116.0,68.0,27.0,0.0,2.0,68.0,56.8966,420389.92,6182.2047,33.0,19.0,85.0,,,actual,,,,,,,,,,,,,
,113.0,64.0,23.0,0.0,2.0,64.0,54.8673,404411.42,6318.9284,28.0,19.0,80.0,,,actual,,,,,,,,,,,,,
,114.0,68.0,24.0,0.0,2.0,68.0,57.8947,398336.74,5857.8932,21.0,21.0,91.0,,,actual,,,,,,,,,,,,,
,112.0,68.0,29.0,0.0,3.0,68.0,58.0357,429109.52,6310.4341,30.0,21.0,91.0,,,actual,,,,,,,,,,,,,
,107.0,65.0,30.0,0.0,6.0,65.0,55.1402,343732.91,5288.1986,33.0,28.0,86.0,,,actual,,,,,,,,,,,,,
,116.0,75.0,40.0,0.0,5.0,75.0,60.3448,408243.68,5443.249,29.0,18.0,116.0,,,actual,,,,,,,,,,,,,
,116.0,92.0,59.0,0.0,4.0,92.0,75.8621,642230.91,6980.7707,42.0,17.0,137.0,,,actual,,,,,,,,,,,,,
,115.0,94.0,29.0,0.0,4.0,94.0,78.2609,641622.38,6825.77,27.0,17.0,139.0,,,actual,,,,,,,,,,,,,
,113.0,62.0,28.0,0.0,4.0,62.0,51.3274,398197.41,6422.5388,61.0,19.0,81.0,,,actual,,,,,,,,,,,,,
,113.0,58.0,26.0,0.0,4.0,58.0,47.7876,357259.73,6159.6505,31.0,20.0,87.0,,,actual,,,,,,,,,,,,,
,111.0,50.0,19.0,0.0,4.0,50.0,41.4414,287901.3,5758.026,28.0,21.0,77.0,,,actual,,,,,,,,,,,,,
,114.0,67.0,33.0,0.0,4.0,67.0,55.2632,414206.34,6182.1841,17.0,19.0,118.0,,,actual,,,,,,,,,,,,,
,114.0,98.0,58.0,0.0,4.0,98.0,82.4561,618934.14,6315.6544,30.0,18.0,170.0,,,actual,,,,,,,,,,,,,
