Date,Day,Rooms Sold,Arrival Rooms,Compliment Rooms,House Use,Individual Confirm,Occupancy %,Room Revenue,ARR,Departure Rooms,OOO Rooms,Pax,Total Room Inventory
2021-09-01,Wednesday,117.0,49.0,1.0,6.0,117.0,94.02,617835.21,5280.64,45.0,15.0,172.0,117.0
2021-09-02,Thursday,113.0,34.0,1.0,5.0,113.0,92.24,620455.06,5490.75,32.0,16.0,170.0,116.0
2021-09-03,Friday,116.0,39.0,0.0,4.0,116.0,94.92,633071.92,5457.52,35.0,14.0,169.0,118.0
2021-09-04,Saturday,116.0,36.0,0.0,4.0,116.0,94.92,682949.05,5887.49,36.0,14.0,182.0,118.0
2021-09-05,Sunday,114.0,36.0,0.0,1.0,114.0,94.96,664046.94,5824.97,38.0,13.0,182.0,119.0
2021-09-06,Monday,118.0,41.0,0.0,4.0,118.0,95.8,682494.94,5783.86,37.0,13.0,181.0,119.0
2021-09-07,Tuesday,107.0,41.0,0.0,4.0,107.0,87.29,649119.72,6066.54,52.0,14.0,164.0,118.0
2021-09-08,Wednesday,99.0,48.0,0.0,4.0,99.0,79.17,518542.76,5237.81,56.0,12.0,152.0,120.0
2021-09-09,Thursday,75.0,28.0,0.0,4.0,75.0,63.96,394551.5,5260.69,52.0,21.0,105.0,111.0
2021-09-10,Friday,75.0,35.0,0.0,4.0,75.0,60.17,438621.35,5848.28,35.0,14.0,119.0,118.0
2021-09-11,Saturday,77.0,43.0,0.0,4.0,77.0,65.77,426438.98,5538.17,41.0,21.0,126.0,111.0
2021-09-12,Sunday,55.0,26.0,0.0,2.0,55.0,46.9,349881.79,6361.49,48.0,19.0,87.0,113.0
2021-09-13,Monday,58.0,28.0,0.0,2.0,58.0,50.0,327570.64,5647.77,25.0,20.0,89.0,112.0
2021-09-14,Tuesday,75.0,30.0,0.0,2.0,75.0,64.6,389818.79,5197.58,13.0,19.0,117.0,113.0
2021-09-15,Wednesday,95.0,49.0,0.0,3.0,95.0,82.88,492585.29,5185.11,31.0,25.0,144.0,111.0
2021-09-16,Thursday,103.0,53.0,0.0,2.0,103.0,86.32,559032.98,5427.5,45.0,16.0,160.0,117.0
2021-09-17,Friday,98.0,37.0,0.0,2.0,98.0,82.05,563392.1,5748.9,43.0,15.0,161.0,117.0
2021-09-18,Saturday,109.0,44.0,0.0,1.0,109.0,92.31,608052.39,5578.46,33.0,15.0,179.0,117.0
2021-09-19,Sunday,101.0,53.0,0.0,2.0,101.0,86.84,539099.5,5337.62,61.0,18.0,153.0,114.0
2021-09-20,Monday,103.0,43.0,0.0,1.0,103.0,90.27,539332.11,5236.23,41.0,20.0,150.0,113.0
2021-09-21,Tuesday,112.0,50.0,0.0,3.0,112.0,96.46,591228.94,5278.83,45.0,19.0,168.0,113.0
2021-09-22,Wednesday,116.0,38.0,1.0,2.0,116.0,95.76,607306.1,5235.4,36.0,16.0,180.0,118.0
2021-09-23,Thursday,97.0,43.0,0.0,2.0,97.0,83.33,521917.75,5380.6,63.0,18.0,158.0,114.0
2021-09-24,Friday,107.0,52.0,0.0,2.0,107.0,95.45,629420.27,5882.43,42.0,22.0,164.0,110.0
2021-09-25,Saturday,116.0,54.0,0.0,2.0,116.0,97.44,683496.37,5892.21,46.0,15.0,208.0,117.0
2021-09-26,Sunday,107.0,49.0,0.0,2.0,107.0,92.11,593440.46,5546.17,59.0,18.0,177.0,114.0
2021-09-27,Monday,102.0,44.0,0.0,2.0,102.0,86.21,566213.14,5551.11,49.0,16.0,161.0,116.0
2021-09-28,Tuesday,91.0,43.0,0.0,2.0,91.0,78.07,503788.25,5536.13,62.0,18.0,145.0,114.0
2021-09-29,Wednesday,88.0,42.0,0.0,2.0,88.0,73.5,451224.86,5127.56,49.0,15.0,143.0,117.0
2021-09-30,Thursday,103.0,55.0,0.0,3.0,103.0,86.21,559557.63,5432.6,41.0,16.0,155.0,116.0
2021-10-01,Friday,72.0,33.0,0.0,1.0,72.0,62.83,496175.2,6891.32,67.0,19.0,111.0,113.0
2021-10-02,Saturday,75.0,39.0,0.0,2.0,75.0,61.86,476753.58,6356.71,36.0,14.0,113.0,118.0
2021-10-03,Sunday,74.0,45.0,0.0,1.0,74.0,62.93,467595.47,6318.86,46.0,16.0,106.0,116.0
2021-10-04,Monday,68.0,27.0,0.0,2.0,68.0,56.9,420389.92,6182.2,33.0,19.0,85.0,116.0
2021-10-05,Tuesday,64.0,23.0,0.0,2.0,64.0,54.87,404411.42,6318.93,28.0,19.0,80.0,113.0
2021-10-06,Wednesday,68.0,24.0,0.0,2.0,68.0,57.89,398336.74,5857.89,21.0,21.0,91.0,114.0
2021-10-07,Thursday,68.0,29.0,0.0,3.0,68.0,58.04,429109.52,6310.43,30.0,21.0,91.0,112.0
2021-10-08,Friday,65.0,30.0,0.0,6.0,65.0,55.14,343732.91,5288.2,33.0,28.0,86.0,107.0
2021-10-09,Saturday,75.0,40.0,0.0,5.0,75.0,60.34,408243.68,5443.25,29.0,18.0,116.0,116.0
2021-10-10,Sunday,92.0,59.0,0.0,4.0,92.0,75.86,642230.91,6980.77,42.0,17.0,137.0,116.0
2021-10-11,Monday,94.0,29.0,0.0,4.0,94.0,78.26,641622.38,6825.77,27.0,17.0,139.0,115.0
2021-10-12,Tuesday,62.0,28.0,0.0,4.0,62.0,51.33,398197.41,6422.54,61.0,19.0,81.0,113.0
2021-10-13,Wednesday,58.0,26.0,0.0,4.0,58.0,47.79,357259.73,6159.65,31.0,20.0,87.0,113.0
2021-10-14,Thursday,50.0,19.0,0.0,4.0,50.0,41.44,287901.3,5758.03,28.0,21.0,77.0,111.0
2021-10-15,Friday,67.0,33.0,0.0,4.0,67.0,55.26,414206.34,6182.18,17.0,19.0,118.0,114.0
2021-10-16,Saturday,98.0,58.0,0.0,4.0,98.0,82.46,618934.14,6315.65,30.0,18.0,170.0,114.0
2021-10-17,Sunday,71.0,39.0,0.0,3.0,71.0,61.82,419735.28,5911.76,67.0,22.0,110.0,110.0
2021-10-18,Monday,83.0,41.0,0.0,3.0,83.0,72.07,476338.9,5739.02,32.0,21.0,128.0,111.0
2021-10-19,Tuesday,95.0,58.0,0.0,3.0,95.0,85.19,550119.35,5790.73,46.0,25.0,143.0,108.0
2021-10-20,Wednesday,118.0,66.0,0.0,2.0,118.0,97.48,725056.44,6144.55,45.0,13.0,177.0,119.0
2021-10-21,Thursday,118.0,63.0,0.0,2.0,118.0,98.31,678972.96,5754.01,65.0,14.0,173.0,118.0
2021-10-22,Friday,114.0,51.0,0.0,2.0,114.0,94.92,692112.04,6071.16,58.0,14.0,181.0,118.0
2021-10-23,Saturday,104.0,62.0,0.0,2.0,104.0,85.71,607888.39,5845.08,73.0,13.0,176.0,119.0
2021-10-24,Sunday,103.0,62.0,0.0,1.0,103.0,85.71,590121.0,5729.33,67.0,13.0,155.0,119.0
2021-10-25,Monday,107.0,57.0,0.0,2.0,107.0,91.3,610938.05,5709.7,55.0,17.0,149.0,115.0
