History and Forecast Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
The Claridges,,,,,,,,,,,,,,,,,,,,,,,,,
Date From: 01/02/2023; Date To: 25/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Day,Rooms Sold,Rooms for Sale,Arrival Rooms,Compliment Rooms,House Use,Hold,Individual Confirm,Individual Tentative,Group Confirm,Group Tentative,Occupancy %,Room Revenue,ARR,Inclusion Revenue,Departure Rooms,OOO Rooms,Pax,Individual Revenue,Individual ARR,Confirmed Group Revenue,Confirmed Group ARR,Tentative Group Revenue,Tentative Group ARR,Total Room Inventory
2023-02-01 00:00:00,Wednesday,116,1,37,0,2,0,118,0,0,0,97.48,1525371.79,13149.76,0,33,11,155,1258155.67,10662.34,267216.12,0,0,0,119
2023-02-02 00:00:00,Thursday,115,2,29,0,3,0,118,0,0,0,95.83,1448656.84,12597.02,0,29,10,159,1193440.72,10113.9,255216.12,0,0,0,120
2023-02-03 00:00:00,Friday,117,1,36,0,2,0,119,0,0,0,97.5,1532358.27,13097.08,0,35,10,173,1277142.15,10732.29,255216.12,0,0,0,120
2023-02-04 00:00:00,Saturday,117,0,60,2,2,0,121,0,0,0,96.69,1526782.32,13049.42,0,60,9,189,931703.35,7700.03,595078.97,0,0,0,121
2023-02-05 00:00:00,Sunday,105,8,50,2,3,0,110,0,0,0,88.98,1499626.34,14282.16,0,62,13,173,1000437.19,9094.88,499189.15,0,0,0,118
2023-02-06 00:00:00,Monday,97,14,74,4,3,0,104,0,0,0,82.2,1434910.17,14792.89,0,79,12,131,1274884.72,12258.51,160025.45,0,0,0,118
2023-02-07 00:00:00,Tuesday,114,3,36,2,2,0,118,0,0,0,94.21,1499655.56,13154.87,0,22,9,148,1319388.58,11181.26,180266.98,0,0,0,121
2023-02-08 00:00:00,Wednesday,113,5,35,2,2,0,117,0,0,0,92.62,1450795.07,12838.89,0,36,8,155,1329748.44,11365.37,153741.54,0,0,0,122
2023-02-09 00:00:00,Thursday,117,0,44,2,2,0,121,0,0,0,96.69,1632785.45,13955.43,0,40,9,169,1424891.37,11775.96,207894.08,0,0,0,121
2023-02-10 00:00:00,Friday,117,2,57,2,2,0,121,0,0,0,95.12,1572270.26,13438.21,0,58,7,185,1147771.9,9485.72,424498.36,0,0,0,123
2023-02-11 00:00:00,Saturday,117,0,48,2,2,0,121,0,0,0,96.69,1503254.68,12848.33,0,48,9,186,1098099.52,9075.2,405155.16,0,0,0,121
2023-02-12 00:00:00,Sunday,90,24,33,2,3,0,95,0,0,0,75.63,1174099.55,13045.55,0,60,12,145,926712.85,9754.87,247386.7,0,0,0,119
2023-02-13 00:00:00,Monday,106,5,61,1,3,0,110,0,0,0,92.17,1425061.42,13443.98,0,47,15,168,1064904.62,9680.95,360156.8,0,0,0,115
2023-02-14 00:00:00,Tuesday,109,6,55,0,3,0,112,0,0,0,92.37,1442557.79,13234.48,0,53,12,167,1213519.65,10835,229038.14,0,0,0,118
2023-02-15 00:00:00,Wednesday,110,5,55,0,2,0,112,0,0,0,94.02,1500529.82,13641.18,0,55,13,167,1280539.12,11433.39,219990.7,0,0,0,117
