History and Forecast Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
The Claridges,,,,,,,,,,,,,,,,,,,,,,,,,
Date From: 2024-11-12; Date To: 2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Day,Rooms Sold,Rooms for Sale,Arrival Rooms,Compliment Rooms,House Use,Hold,Individual Confirm,Individual Tentative,Group Confirm,Group Tentative,Occupancy %,Room Revenue,ARR,Inclusion Revenue,Departure Rooms,OOO Rooms,Pax,Individual Revenue,Individual ARR,Confirmed Group Revenue,Confirmed Group ARR,Tentative Group Revenue,Tentative Group ARR,Total Room Inventory
2024-11-12 00:00:00,Tuesday,113,3,34,1,2,0,103,0,13,0,94.96,1882131.12,16656.03,0,36,11,179,1692131.12,16428.46,190000,14615.38,0,0,119
2024-11-13 00:00:00,Wednesday,108,7,44,0,3,0,88,0,23,0,91.53,1900518.54,17597.39,0,48,12,158,1550518.54,17619.53,350000,15217.39,0,0,118
2024-11-14 00:00:00,Thursday,105,5,62,1,7,0,96,0,17,0,88.98,1928085.05,18362.71,0,59,12,173,1771085.05,18448.8,157000,9235.29,0,0,118
2024-11-15 00:00:00,Friday,109,2,54,0,7,0,114,0,2,0,92.37,1892802.64,17365.16,0,51,12,186,1869073.82,16395.38,23728.82,11864.41,0,0,118
2024-11-16 00:00:00,Saturday,109,1,49,1,7,0,109,0,8,0,92.37,1814219.03,16644.21,0,49,12,186,1708261.39,15672.12,105957.64,13244.7,0,0,118
2024-11-17 00:00:00,Sunday,108,7,54,0,3,0,92,0,19,0,91.53,1748188.04,16186.93,0,60,12,170,1430188.04,15545.52,318000,16736.84,0,0,118
2024-11-18 00:00:00,Monday,110,5,44,1,3,0,80,0,34,0,92.44,1704024.33,15491.13,0,41,11,174,1226598.96,15332.49,477425.37,14041.92,0,0,119
2024-11-19 00:00:00,Tuesday,102,12,40,1,3,0,84,0,22,0,86.44,1622381.33,15905.7,0,48,13,163,1382455.96,16457.81,239925.37,10905.7,0,0,118
2024-11-20 00:00:00,Wednesday,109,2,42,2,3,0,93,0,21,0,93.97,1714658.69,15730.81,0,34,14,175,1474733.32,15857.35,239925.37,11425.02,0,0,116
2024-11-21 00:00:00,Thursday,106,8,55,0,3,0,102,0,7,0,90.6,2025368.76,19107.25,0,60,13,158,1871368.76,18346.75,154000,22000,0,0,117
2024-11-22 00:00:00,Friday,103,8,55,2,3,0,104,0,4,0,88.79,1808635.86,17559.57,0,57,15,169,1694635.86,16294.58,114000,28500,0,0,116
2024-11-23 00:00:00,Saturday,105,8,38,1,3,0,104,0,5,0,89.74,1769194.86,16849.47,0,37,13,178,1684194.86,16194.18,85000,17000,0,0,117
2024-11-24 00:00:00,Sunday,95,20,43,0,3,0,93,0,5,0,80.51,1656072.05,17432.34,0,54,13,161,1577072.05,16957.76,79000,15800,0,0,118
2024-11-25 00:00:00,Monday,115,1,48,0,3,0,101,0,17,0,96.64,1877764.31,16328.39,0,29,11,181,1705338.94,16884.54,172425.37,10142.67,0,0,119
2024-11-26 00:00:00,Tuesday,115,1,40,1,2,0,87,0,31,0,96.64,1834199.63,15949.56,0,40,11,172,1395774.26,16043.38,438425.37,14142.75,0,0,119
2024-11-27 00:00:00,Wednesday,115,1,36,2,2,0,88,0,31,0,95.83,1979723.48,17214.99,0,36,10,168,1541298.11,17514.75,438425.37,14142.75,0,0,120
2024-11-28 00:00:00,Thursday,111,4,53,2,3,0,103,0,13,0,92.5,1858178.67,16740.35,0,56,10,185,1721415.79,16712.77,136762.88,10520.22,0,0,120
2024-11-29 00:00:00,Friday,99,15,35,2,3,0,91,0,13,0,83.19,1589920.99,16059.81,0,47,11,172,1455158.11,15990.75,134762.88,10366.38,0,0,119
2024-11-30 00:00:00,Saturday,80,34,28,1,3,0,74,0,10,0,67.8,1204659.94,15058.25,0,48,12,130,1117397.06,15099.96,87262.88,8726.29,0,0,118
2024-12-01 00:00:00,Sunday,83,21,60,3,3,0,84,0,5,0,75.45,1465937.09,17661.89,0,55,19,127,1346937.09,16034.97,119000,23800,0,0,110
2024-12-02 00:00:00,Monday,92,11,43,4,3,0,89,0,10,0,83.64,1560088.39,16957.48,0,33,21,142,1378088.39,15484.14,182000,18200,0,0,110
2024-12-03 00:00:00,Tuesday,85,18,33,3,3,0,80,0,11,0,77.98,1359194.69,15990.53,0,42,21,132,1179694.69,14746.18,179500,16318.18,0,0,109
2024-12-04 00:00:00,Wednesday,98,6,49,1,3,0,81,0,21,0,90.74,1630960.36,16642.45,0,38,22,157,1306960.36,16135.31,324000,15428.57,0,0,108
2024-12-05 00:00:00,Thursday,98,9,35,1,3,0,78,0,24,0,88.29,1691513.74,17260.34,0,34,19,160,1199513.74,15378.38,492000,20500,0,0,111
2024-12-06 00:00:00,Friday,98,6,42,2,3,0,66,0,37,0,89.91,1720593.26,17557.07,0,41,21,165,968093.26,14668.08,752500,20337.84,0,0,109
2024-12-07 00:00:00,Saturday,79,22,50,4,3,0,64,0,22,0,73.15,1292255.33,16357.66,0,67,23,140,923281.33,14426.27,368974,16771.55,0,0,108
2024-12-08 00:00:00,Sunday,69,32,28,3,3,0,64,0,11,0,64.49,1244857.25,18041.41,0,39,23,113,1000857.25,15638.39,244000,22181.82,0,0,107
2024-12-09 00:00:00,Monday,79,25,48,1,3,0,72,0,11,0,73.15,1310462.48,16588.13,0,41,22,113,1160894.72,16123.54,149567.76,13597.07,0,0,108
2024-12-10 00:00:00,Tuesday,100,1,43,1,3,0,88,0,16,0,95.24,1600229.46,16002.29,0,22,25,143,1285661.7,14609.79,314567.76,19660.49,0,0,105
2024-12-11 00:00:00,Wednesday,96,4,42,0,5,0,91,0,10,0,91.43,1464834.3,15258.69,0,45,25,142,1370766.54,15063.37,94067.76,9406.78,0,0,105
,Total (History),2994,299,1327,41,101,0,2663,0,473,0,87.16,50151653.67,16750.72,0,1347,469,4772,42989449.07,16143.24,7162204.6,15142.08,0,0,3435
,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-12 00:00:00,Thursday,99,4,47,3,2,0,68,22,1,13,91.67,1529982.93,15454.37,0,24,22,212,1310982.93,14566.48,219000,219000,0,0,108
2024-12-13 00:00:00,Friday,102,6,40,1,2,0,51,25,1,28,91.89,1571154.8,15403.48,0,39,19,224,1096654.8,14429.67,474500,474500,0,0,111
2024-12-14 00:00:00,Saturday,102,7,29,2,2,0,47,32,1,26,90.27,1717061.01,16833.93,0,28,17,223,1254561.01,15880.52,462500,462500,0,0,113
2024-12-15 00:00:00,Sunday,95,15,35,2,2,0,44,43,1,11,83.33,1532792.57,16134.66,0,42,16,209,1411292.57,16221.75,121500,121500,0,0,114
2024-12-16 00:00:00,Monday,66,44,15,1,2,0,35,32,0,2,58.41,1130395.81,17127.21,0,45,17,153,1106395.81,16513.37,24000,0,0,0,113
2024-12-17 00:00:00,Tuesday,64,46,16,0,2,0,31,35,0,0,57.14,1099229.53,17175.46,0,19,18,145,1099229.53,16654.99,0,0,0,0,112
2024-12-18 00:00:00,Wednesday,70,40,29,0,2,0,44,28,0,0,62.5,1193415.72,17048.8,0,23,18,154,1193415.72,16575.22,0,0,0,0,112
2024-12-19 00:00:00,Thursday,83,27,25,0,2,0,50,35,0,0,74.11,1343563.47,16187.51,0,12,18,173,1343563.47,15806.63,0,0,0,0,112
2024-12-20 00:00:00,Friday,70,40,21,0,2,0,46,26,0,0,62.5,1187350.43,16962.15,0,34,18,122,1187350.43,16490.98,0,0,0,0,112
2024-12-21 00:00:00,Saturday,87,22,37,1,2,0,40,46,0,4,77.68,1400501.15,16097.71,0,19,18,154,1345297.75,15643,55203.4,0,0,0,112
2024-12-22 00:00:00,Sunday,100,9,38,1,2,0,40,58,0,5,89.29,1479591.96,14795.92,0,25,18,180,1393083.46,14215.14,86508.5,0,0,0,112
2024-12-23 00:00:00,Monday,98,10,45,2,2,0,35,43,2,22,87.5,1414059.01,14429.17,0,46,18,176,1121625.14,14379.81,292433.87,146216.93,0,0,112
2024-12-24 00:00:00,Tuesday,93,16,20,1,2,0,32,37,5,22,83.04,1351035.65,14527.27,0,26,18,166,1001601.78,14515.97,349433.87,69886.77,0,0,112
2024-12-25 00:00:00,Wednesday,80,30,12,1,2,0,28,28,5,22,70.8,1173685.65,14671.07,0,25,17,142,824251.78,14718.78,349433.87,69886.77,0,0,113
2024-12-26 00:00:00,Thursday,63,48,36,0,2,0,30,31,4,0,55.75,958479.78,15213.96,0,54,17,115,910479.78,14925.9,48000,12000,0,0,113
2024-12-27 00:00:00,Friday,73,39,27,0,2,0,33,39,0,3,64.04,1135363.72,15552.93,0,17,16,130,1081363.72,15018.94,54000,0,0,0,114
2024-12-28 00:00:00,Saturday,80,32,30,0,2,0,42,37,0,3,70.18,1231186.96,15389.84,0,23,16,138,1177186.96,14901.1,54000,0,0,0,114
2024-12-29 00:00:00,Sunday,69,43,18,0,2,0,33,35,0,3,60.53,1009559.74,14631.3,0,29,16,115,955559.74,14052.35,54000,0,0,0,114
2024-12-30 00:00:00,Monday,54,58,18,0,2,0,31,25,0,0,47.37,739607.64,13696.44,0,33,16,90,739607.64,13207.28,0,0,0,0,114
2024-12-31 00:00:00,Tuesday,54,58,17,0,2,0,30,26,0,0,47.37,771438.36,14285.9,0,17,16,90,771438.36,13775.68,0,0,0,0,114
2025-01-01 00:00:00,Wednesday,54,67,37,0,0,0,11,38,0,5,44.63,708417.4,13118.84,0,39,9,83,621908.9,12692.02,86508.5,0,0,0,121
2025-01-02 00:00:00,Thursday,73,47,30,0,0,0,15,50,0,8,60.83,974306.4,13346.66,0,11,10,120,838297.9,12896.89,136008.5,0,0,0,120
2025-01-03 00:00:00,Friday,80,41,26,0,0,0,16,52,4,8,66.12,1056277.1,13203.46,0,23,9,126,861277.1,12665.84,195000,48750,0,0,121
2025-01-04 00:00:00,Saturday,73,47,22,0,0,0,14,44,4,11,60.83,963798.9,13202.72,0,29,10,113,719298.9,12401.71,244500,61125,0,0,120
2025-01-05 00:00:00,Sunday,77,44,30,0,0,0,17,45,0,15,63.64,1054408.4,13693.62,0,22,9,127,805408.4,12990.46,249000,0,0,0,121
2025-01-06 00:00:00,Monday,91,30,34,0,0,0,21,54,0,16,75.21,1321723.5,14524.43,0,20,9,156,1056723.5,14089.65,265000,0,0,0,121
2025-01-07 00:00:00,Tuesday,84,37,26,0,0,0,20,46,5,13,69.42,1186870.5,14129.41,0,33,9,139,901370.5,13657.13,285500,57100,0,0,121
2025-01-08 00:00:00,Wednesday,60,61,17,0,0,0,11,43,0,6,49.59,790505.5,13175.09,0,41,9,98,703505.5,13027.88,87000,0,0,0,121
2025-01-09 00:00:00,Thursday,65,56,27,0,0,0,10,44,0,11,53.72,909126,13986.55,0,22,9,113,700126,12965.3,209000,0,0,0,121
2025-01-10 00:00:00,Friday,80,41,25,0,0,0,10,51,0,19,66.12,1129923.1,14124.04,0,10,9,135,795923.1,13047.92,334000,0,0,0,121
2025-01-11 00:00:00,Saturday,83,38,36,0,0,0,9,55,3,16,68.6,1175686.5,14164.9,0,36,9,132,876186.5,13690.41,299500,99833.33,0,0,121
2025-01-12 00:00:00,Sunday,91,30,35,0,0,0,10,57,11,13,75.21,1255212.4,13793.54,0,35,9,127,923212.4,13779.29,332000,30181.82,0,0,121
2025-01-13 00:00:00,Monday,92,29,27,0,0,0,15,59,11,7,76.03,1256302.1,13655.46,0,26,9,126,1026302.1,13868.95,230000,20909.09,0,0,121
2025-01-14 00:00:00,Tuesday,89,32,30,0,0,0,21,56,11,1,73.55,1222469.85,13735.62,0,33,9,126,1079469.85,14019.09,143000,13000,0,0,121
2025-01-15 00:00:00,Wednesday,90,31,41,0,0,0,20,61,1,8,74.38,1189304.13,13214.49,0,30,9,141,1062804.13,13121.04,126500,126500,0,0,121
2025-01-16 00:00:00,Thursday,95,26,35,0,0,0,21,74,0,0,78.51,1294456.18,13625.85,0,29,9,154,1294456.18,13625.85,0,0,0,0,121
2025-01-17 00:00:00,Friday,120,1,30,0,0,0,19,63,26,12,99.17,1597106.18,13309.22,0,31,9,145,1033106.18,12598.86,564000,21692.31,0,0,121
2025-01-18 00:00:00,Saturday,109,12,21,0,0,0,23,56,26,4,90.08,1416428.68,12994.76,0,32,9,126,964428.68,12207.96,452000,17384.62,0,0,121
2025-01-19 00:00:00,Sunday,107,14,35,0,0,0,19,67,14,7,88.43,1249212.68,11674.88,0,25,9,142,1006212.68,11700.15,243000,17357.14,0,0,121
2025-01-20 00:00:00,Monday,94,27,27,0,0,0,8,68,11,7,77.69,1259109.02,13394.78,0,37,9,135,1016109.02,13369.86,243000,22090.91,0,0,121
2025-01-21 00:00:00,Tuesday,94,27,29,0,0,0,9,64,19,2,77.69,1255362.68,13354.92,0,31,9,137,951862.68,13039.21,303500,15973.68,0,0,121
2025-01-22 00:00:00,Wednesday,88,33,17,0,0,0,9,49,28,2,72.73,1182689.18,13439.65,0,32,9,112,762189.18,13141.19,420500,15017.86,0,0,121
2025-01-23 00:00:00,Thursday,79,42,20,0,0,0,4,49,24,2,65.29,891487.1,11284.65,0,28,9,89,643987.1,12150.7,247500,10312.5,0,0,121
2025-01-24 00:00:00,Friday,83,38,14,0,0,0,7,43,30,3,68.6,933103.06,11242.21,0,18,9,79,604603.06,12092.06,328500,10950,0,0,121
2025-01-25 00:00:00,Saturday,76,45,22,0,0,0,9,47,18,2,62.81,860091.56,11316.99,0,18,9,91,704091.56,12573.06,156000,8666.67,0,0,121
2025-01-26 00:00:00,Sunday,76,45,26,0,0,0,8,56,11,1,62.81,1006222.4,13239.77,0,19,9,109,850222.4,13284.73,156000,14181.82,0,0,121
2025-01-27 00:00:00,Monday,86,35,40,0,0,0,13,72,0,1,71.07,1261462.4,14668.17,0,19,9,151,1243462.4,14628.97,18000,0,0,0,121
2025-01-28 00:00:00,Tuesday,93,28,26,0,0,0,13,76,3,1,76.86,1372622.4,14759.38,0,22,9,158,1314622.4,14771.04,58000,19333.33,0,0,121
2025-01-29 00:00:00,Wednesday,98,23,23,0,0,0,6,57,31,4,80.99,1372453.9,14004.63,0,46,9,110,894453.9,14197.68,478000,15419.35,0,0,121
2025-01-30 00:00:00,Thursday,110,11,40,0,0,0,11,65,28,6,90.91,1195123.9,10864.76,0,25,9,119,998123.9,13133.21,197000,7035.71,0,0,121
2025-01-31 00:00:00,Friday,112,9,34,0,0,0,4,33,45,30,92.56,863754,7712.09,0,49,9,104,389754,10533.89,474000,10533.33,0,0,121
,Total (Forecast),4304,1641,1437,15,40,0,1193,2377,384,405,71.73,60174472.99,13981.06,0,1451,630,6934,49968442.48,13996.76,10206030.51,26578.2,0,0,6000
,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Total,7298,1940,2764,56,141,0,3856,2377,857,405,77.35,110326126.66,15117.31,0,2798,1099,11706,92957891.55,14913.83,17368235.11,20266.32,0,0,9435
