History and Forecast Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
The Claridges,,,,,,,,,,,,,,,,,,,,,,,,,
Date From: 01/04/2023; Date To: 31/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Day,Rooms Sold,Rooms for Sale,Arrival Rooms,Compliment Rooms,House Use,Hold,Individual Confirm,Individual Tentative,Group Confirm,Group Tentative,Occupancy %,Room Revenue,ARR,Inclusion Revenue,Departure Rooms,OOO Rooms,Pax,Individual Revenue,Individual ARR,Confirmed Group Revenue,Confirmed Group ARR,Tentative Group Revenue,Tentative Group ARR,Total Room Inventory
2023-04-01 00:00:00,Saturday,111,4,48,3,1,0,115,0,0,0,93.28,1162842.58,10476.06,0,49,11,180,939690.06,8171.22,223152.52,0,0,0,119
2023-04-02 00:00:00,Sunday,97,14,50,1,4,0,102,0,0,0,83.62,1079504.25,11128.91,0,63,14,160,1031199.21,10109.8,48305.04,0,0,0,116
2023-04-03 00:00:00,Monday,88,24,40,0,4,0,92,0,0,0,75.86,931371.15,10583.76,0,52,14,132,873371.15,9493.16,58000,0,0,0,116
2023-04-04 00:00:00,Tuesday,68,38,32,1,3,0,72,0,0,0,61.82,776760.7,11422.95,0,53,20,108,760760.7,10566.12,16000,0,0,0,110
2023-04-05 00:00:00,Wednesday,54,53,29,0,2,0,56,0,0,0,49.54,647427.35,11989.4,0,45,21,79,647427.35,11561.2,0,0,0,0,109
2023-04-06 00:00:00,Thursday,52,50,28,0,2,0,54,0,0,0,50,642827.33,12362.06,0,30,28,80,642827.33,11904.21,0,0,0,0,104
2023-04-07 00:00:00,Friday,64,19,39,2,3,0,69,0,0,0,72.73,732105.03,11439.14,0,24,42,106,732105.03,10610.22,0,0,0,0,88
